x,y,vx,vy,t
0.000,0.413,28.284,28.284,0.000
0.028,0.441,28.282,28.272,0.001
0.057,0.469,28.280,28.260,0.002
0.085,0.498,28.278,28.248,0.003
0.113,0.526,28.275,28.236,0.004
0.141,0.554,28.273,28.224,0.005
0.170,0.582,28.271,28.212,0.006
0.198,0.611,28.269,28.200,0.007
0.226,0.639,28.266,28.188,0.008
0.254,0.667,28.264,28.176,0.009
0.283,0.695,28.262,28.164,0.010
0.311,0.723,28.260,28.152,0.011
0.339,0.751,28.258,28.140,0.012
0.368,0.780,28.255,28.128,0.013
0.396,0.808,28.253,28.116,0.014
0.424,0.836,28.251,28.104,0.015
0.452,0.864,28.249,28.092,0.016
0.481,0.892,28.247,28.080,0.017
0.509,0.920,28.244,28.068,0.018
0.537,0.948,28.242,28.056,0.019
0.565,0.976,28.240,28.044,0.020
0.593,1.004,28.238,28.032,0.021
0.622,1.032,28.235,28.020,0.022
0.650,1.060,28.233,28.008,0.023
0.678,1.088,28.231,27.996,0.024
0.706,1.116,28.229,27.984,0.025
0.735,1.144,28.227,27.972,0.026
0.763,1.172,28.224,27.960,0.027
0.791,1.200,28.222,27.948,0.028
0.819,1.228,28.220,27.936,0.029
0.848,1.256,28.218,27.924,0.030
0.876,1.284,28.216,27.912,0.031
0.904,1.312,28.213,27.900,0.032
0.932,1.340,28.211,27.888,0.033
0.960,1.368,28.209,27.876,0.034
0.989,1.395,28.207,27.864,0.035
1.017,1.423,28.205,27.852,0.036
1.045,1.451,28.202,27.840,0.037
1.073,1.479,28.200,27.828,0.038
1.101,1.507,28.198,27.816,0.039
1.130,1.535,28.196,27.804,0.040
1.158,1.562,28.194,27.792,0.041
1.186,1.590,28.191,27.780,0.042
1.214,1.618,28.189,27.768,0.043
1.242,1.646,28.187,27.756,0.044
1.271,1.673,28.185,27.744,0.045
1.299,1.701,28.183,27.732,0.046
1.327,1.729,28.180,27.720,0.047
1.355,1.757,28.178,27.708,0.048
1.383,1.784,28.176,27.696,0.049
1.411,1.812,28.174,27.684,0.050
1.440,1.840,28.172,27.672,0.051
1.468,1.867,28.169,27.661,0.052
1.496,1.895,28.167,27.649,0.053
1.524,1.923,28.165,27.637,0.054
1.552,1.950,28.163,27.625,0.055
1.580,1.978,28.161,27.613,0.056
1.609,2.006,28.158,27.601,0.057
1.637,2.033,28.156,27.589,0.058
1.665,2.061,28.154,27.577,0.059
1.693,2.088,28.152,27.565,0.060
1.721,2.116,28.150,27.553,0.061
1.749,2.143,28.148,27.541,0.062
1.778,2.171,28.145,27.529,0.063
1.806,2.198,28.143,27.517,0.064
1.834,2.226,28.141,27.505,0.065
1.862,2.253,28.139,27.493,0.066
1.890,2.281,28.137,27.481,0.067
1.918,2.308,28.134,27.469,0.068
1.946,2.336,28.132,27.457,0.069
1.974,2.363,28.130,27.446,0.070
2.003,2.391,28.128,27.434,0.071
2.031,2.418,28.126,27.422,0.072
2.059,2.446,28.124,27.410,0.073
2.087,2.473,28.121,27.398,0.074
2.115,2.500,28.119,27.386,0.075
2.143,2.528,28.117,27.374,0.076
2.171,2.555,28.115,27.362,0.077
2.199,2.583,28.113,27.350,0.078
2.228,2.610,28.111,27.338,0.079
2.256,2.637,28.108,27.326,0.080
2.284,2.665,28.106,27.314,0.081
2.312,2.692,28.104,27.302,0.082
2.340,2.719,28.102,27.291,0.083
2.368,2.746,28.100,27.279,0.084
2.396,2.774,28.098,27.267,0.085
2.424,2.801,28.095,27.255,0.086
2.452,2.828,28.093,27.243,0.087
2.480,2.855,28.091,27.231,0.088
2.509,2.883,28.089,27.219,0.089
2.537,2.910,28.087,27.207,0.090
2.565,2.937,28.085,27.195,0.091
2.593,2.964,28.082,27.183,0.092
2.621,2.991,28.080,27.172,0.093
2.649,3.019,28.078,27.160,0.094
2.677,3.046,28.076,27.148,0.095
2.705,3.073,28.074,27.136,0.096
2.733,3.100,28.072,27.124,0.097
2.761,3.127,28.069,27.112,0.098
2.789,3.154,28.067,27.100,0.099
2.817,3.181,28.065,27.088,0.100
2.845,3.208,28.063,27.076,0.101
2.874,3.235,28.061,27.065,0.102
2.902,3.263,28.059,27.053,0.103
2.930,3.290,28.057,27.041,0.104
2.958,3.317,28.054,27.029,0.105
2.986,3.344,28.052,27.017,0.106
3.014,3.371,28.050,27.005,0.107
3.042,3.398,28.048,26.993,0.108
3.070,3.425,28.046,26.981,0.109
3.098,3.452,28.044,26.969,0.110
3.126,3.479,28.042,26.958,0.111
3.154,3.506,28.039,26.946,0.112
3.182,3.532,28.037,26.934,0.113
3.210,3.559,28.035,26.922,0.114
3.238,3.586,28.033,26.910,0.115
3.266,3.613,28.031,26.898,0.116
3.294,3.640,28.029,26.886,0.117
3.322,3.667,28.026,26.875,0.118
3.350,3.694,28.024,26.863,0.119
3.378,3.721,28.022,26.851,0.120
3.406,3.748,28.020,26.839,0.121
3.434,3.774,28.018,26.827,0.122
3.462,3.801,28.016,26.815,0.123
3.490,3.828,28.014,26.803,0.124
3.518,3.855,28.012,26.792,0.125
3.546,3.882,28.009,26.780,0.126
3.574,3.908,28.007,26.768,0.127
3.602,3.935,28.005,26.756,0.128
3.630,3.962,28.003,26.744,0.129
3.658,3.989,28.001,26.732,0.130
3.686,4.015,27.999,26.720,0.131
3.714,4.042,27.997,26.709,0.132
3.742,4.069,27.994,26.697,0.133
3.770,4.095,27.992,26.685,0.134
3.798,4.122,27.990,26.673,0.135
3.826,4.149,27.988,26.661,0.136
3.854,4.175,27.986,26.649,0.137
3.882,4.202,27.984,26.638,0.138
3.910,4.229,27.982,26.626,0.139
3.938,4.255,27.980,26.614,0.140
3.966,4.282,27.977,26.602,0.141
3.994,4.309,27.975,26.590,0.142
4.022,4.335,27.973,26.578,0.143
4.050,4.362,27.971,26.567,0.144
4.078,4.388,27.969,26.555,0.145
4.106,4.415,27.967,26.543,0.146
4.134,4.441,27.965,26.531,0.147
4.162,4.468,27.963,26.519,0.148
4.190,4.494,27.960,26.508,0.149
4.218,4.521,27.958,26.496,0.150
4.246,4.547,27.956,26.484,0.151
4.274,4.574,27.954,26.472,0.152
4.302,4.600,27.952,26.460,0.153
4.330,4.627,27.950,26.448,0.154
4.358,4.653,27.948,26.437,0.155
4.386,4.680,27.946,26.425,0.156
4.414,4.706,27.943,26.413,0.157
4.442,4.733,27.941,26.401,0.158
4.470,4.759,27.939,26.389,0.159
4.497,4.785,27.937,26.378,0.160
4.525,4.812,27.935,26.366,0.161
4.553,4.838,27.933,26.354,0.162
4.581,4.864,27.931,26.342,0.163
4.609,4.891,27.929,26.330,0.164
4.637,4.917,27.927,26.319,0.165
4.665,4.943,27.924,26.307,0.166
4.693,4.970,27.922,26.295,0.167
4.721,4.996,27.920,26.283,0.168
4.749,5.022,27.918,26.271,0.169
4.777,5.048,27.916,26.260,0.170
4.805,5.075,27.914,26.248,0.171
4.833,5.101,27.912,26.236,0.172
4.860,5.127,27.910,26.224,0.173
4.888,5.153,27.908,26.213,0.174
4.916,5.180,27.905,26.201,0.175
4.944,5.206,27.903,26.189,0.176
4.972,5.232,27.901,26.177,0.177
5.000,5.258,27.899,26.165,0.178
5.028,5.284,27.897,26.154,0.179
5.056,5.310,27.895,26.142,0.180
5.084,5.337,27.893,26.130,0.181
5.112,5.363,27.891,26.118,0.182
5.139,5.389,27.889,26.107,0.183
5.167,5.415,27.887,26.095,0.184
5.195,5.441,27.885,26.083,0.185
5.223,5.467,27.882,26.071,0.186
5.251,5.493,27.880,26.060,0.187
5.279,5.519,27.878,26.048,0.188
5.307,5.545,27.876,26.036,0.189
5.335,5.571,27.874,26.024,0.190
5.363,5.597,27.872,26.012,0.191
5.390,5.623,27.870,26.001,0.192
5.418,5.649,27.868,25.989,0.193
5.446,5.675,27.866,25.977,0.194
5.474,5.701,27.864,25.965,0.195
5.502,5.727,27.861,25.954,0.196
5.530,5.753,27.859,25.942,0.197
5.558,5.779,27.857,25.930,0.198
5.585,5.805,27.855,25.918,0.199
5.613,5.831,27.853,25.907,0.200
5.641,5.857,27.851,25.895,0.201
5.669,5.883,27.849,25.883,0.202
5.697,5.909,27.847,25.871,0.203
5.725,5.935,27.845,25.860,0.204
5.753,5.960,27.843,25.848,0.205
5.780,5.986,27.841,25.836,0.206
5.808,6.012,27.839,25.824,0.207
5.836,6.038,27.836,25.813,0.208
5.864,6.064,27.834,25.801,0.209
5.892,6.089,27.832,25.789,0.210
5.920,6.115,27.830,25.778,0.211
5.947,6.141,27.828,25.766,0.212
5.975,6.167,27.826,25.754,0.213
6.003,6.193,27.824,25.742,0.214
6.031,6.218,27.822,25.731,0.215
6.059,6.244,27.820,25.719,0.216
6.086,6.270,27.818,25.707,0.217
6.114,6.295,27.816,25.695,0.218
6.142,6.321,27.814,25.684,0.219
6.170,6.347,27.812,25.672,0.220
6.198,6.372,27.809,25.660,0.221
6.226,6.398,27.807,25.649,0.222
6.253,6.424,27.805,25.637,0.223
6.281,6.449,27.803,25.625,0.224
6.309,6.475,27.801,25.613,0.225
6.337,6.501,27.799,25.602,0.226
6.365,6.526,27.797,25.590,0.227
6.392,6.552,27.795,25.578,0.228
6.420,6.577,27.793,25.567,0.229
6.448,6.603,27.791,25.555,0.230
6.476,6.628,27.789,25.543,0.231
6.504,6.654,27.787,25.531,0.232
6.531,6.680,27.785,25.520,0.233
6.559,6.705,27.783,25.508,0.234
6.587,6.731,27.781,25.496,0.235
6.615,6.756,27.778,25.485,0.236
6.642,6.781,27.776,25.473,0.237
6.670,6.807,27.774,25.461,0.238
6.698,6.832,27.772,25.450,0.239
6.726,6.858,27.770,25.438,0.240
6.754,6.883,27.768,25.426,0.241
6.781,6.909,27.766,25.415,0.242
6.809,6.934,27.764,25.403,0.243
6.837,6.960,27.762,25.391,0.244
6.865,6.985,27.760,25.379,0.245
6.892,7.010,27.758,25.368,0.246
6.920,7.036,27.756,25.356,0.247
6.948,7.061,27.754,25.344,0.248
6.976,7.086,27.752,25.333,0.249
7.003,7.112,27.750,25.321,0.250
7.031,7.137,27.748,25.309,0.251
7.059,7.162,27.746,25.298,0.252
7.087,7.188,27.744,25.286,0.253
7.114,7.213,27.741,25.274,0.254
7.142,7.238,27.739,25.263,0.255
7.170,7.263,27.737,25.251,0.256
7.198,7.289,27.735,25.239,0.257
7.225,7.314,27.733,25.228,0.258
7.253,7.339,27.731,25.216,0.259
7.281,7.364,27.729,25.204,0.260
7.308,7.389,27.727,25.193,0.261
7.336,7.415,27.725,25.181,0.262
7.364,7.440,27.723,25.169,0.263
7.392,7.465,27.721,25.158,0.264
7.419,7.490,27.719,25.146,0.265
7.447,7.515,27.717,25.134,0.266
7.475,7.540,27.715,25.123,0.267
7.502,7.566,27.713,25.111,0.268
7.530,7.591,27.711,25.099,0.269
7.558,7.616,27.709,25.088,0.270
7.586,7.641,27.707,25.076,0.271
7.613,7.666,27.705,25.064,0.272
7.641,7.691,27.703,25.053,0.273
7.669,7.716,27.701,25.041,0.274
7.696,7.741,27.699,25.029,0.275
7.724,7.766,27.697,25.018,0.276
7.752,7.791,27.695,25.006,0.277
7.780,7.816,27.692,24.995,0.278
7.807,7.841,27.690,24.983,0.279
7.835,7.866,27.688,24.971,0.280
7.863,7.891,27.686,24.960,0.281
7.890,7.916,27.684,24.948,0.282
7.918,7.941,27.682,24.936,0.283
7.946,7.966,27.680,24.925,0.284
7.973,7.991,27.678,24.913,0.285
8.001,8.016,27.676,24.901,0.286
8.029,8.041,27.674,24.890,0.287
8.056,8.065,27.672,24.878,0.288
8.084,8.090,27.670,24.867,0.289
8.112,8.115,27.668,24.855,0.290
8.139,8.140,27.666,24.843,0.291
8.167,8.165,27.664,24.832,0.292
8.195,8.190,27.662,24.820,0.293
8.222,8.214,27.660,24.808,0.294
8.250,8.239,27.658,24.797,0.295
8.278,8.264,27.656,24.785,0.296
8.305,8.289,27.654,24.774,0.297
8.333,8.314,27.652,24.762,0.298
8.361,8.338,27.650,24.750,0.299
8.388,8.363,27.648,24.739,0.300
8.416,8.388,27.646,24.727,0.301
8.444,8.413,27.644,24.715,0.302
8.471,8.437,27.642,24.704,0.303
8.499,8.462,27.640,24.692,0.304
8.526,8.487,27.638,24.681,0.305
8.554,8.511,27.636,24.669,0.306
8.582,8.536,27.634,24.657,0.307
8.609,8.561,27.632,24.646,0.308
8.637,8.585,27.630,24.634,0.309
8.665,8.610,27.628,24.623,0.310
8.692,8.635,27.626,24.611,0.311
8.720,8.659,27.624,24.599,0.312
8.748,8.684,27.622,24.588,0.313
8.775,8.708,27.620,24.576,0.314
8.803,8.733,27.618,24.565,0.315
8.830,8.757,27.616,24.553,0.316
8.858,8.782,27.614,24.541,0.317
8.886,8.807,27.612,24.530,0.318
8.913,8.831,27.610,24.518,0.319
8.941,8.856,27.608,24.507,0.320
8.968,8.880,27.606,24.495,0.321
8.996,8.905,27.604,24.484,0.322
9.024,8.929,27.602,24.472,0.323
9.051,8.954,27.600,24.460,0.324
9.079,8.978,27.598,24.449,0.325
9.106,9.002,27.596,24.437,0.326
9.134,9.027,27.594,24.426,0.327
9.162,9.051,27.592,24.414,0.328
9.189,9.076,27.590,24.402,0.329
9.217,9.100,27.588,24.391,0.330
9.244,9.124,27.586,24.379,0.331
9.272,9.149,27.584,24.368,0.332
9.300,9.173,27.582,24.356,0.333
9.327,9.198,27.580,24.345,0.334
9.355,9.222,27.578,24.333,0.335
9.382,9.246,27.576,24.321,0.336
9.410,9.271,27.574,24.310,0.337
9.437,9.295,27.572,24.298,0.338
9.465,9.319,27.570,24.287,0.339
9.493,9.343,27.568,24.275,0.340
9.520,9.368,27.566,24.264,0.341
9.548,9.392,27.564,24.252,0.342
9.575,9.416,27.562,24.241,0.343
9.603,9.440,27.560,24.229,0.344
9.630,9.465,27.558,24.217,0.345
9.658,9.489,27.556,24.206,0.346
9.685,9.513,27.554,24.194,0.347
9.713,9.537,27.552,24.183,0.348
9.741,9.561,27.550,24.171,0.349
9.768,9.586,27.548,24.160,0.350
9.796,9.610,27.546,24.148,0.351
9.823,9.634,27.544,24.137,0.352
9.851,9.658,27.542,24.125,0.353
9.878,9.682,27.540,24.113,0.354
9.906,9.706,27.538,24.102,0.355
9.933,9.730,27.536,24.090,0.356
9.961,9.754,27.534,24.079,0.357
9.988,9.778,27.532,24.067,0.358
10.016,9.803,27.530,24.056,0.359
10.044,9.827,27.528,24.044,0.360
10.071,9.851,27.526,24.033,0.361
10.099,9.875,27.524,24.021,0.362
10.126,9.899,27.522,24.010,0.363
10.154,9.923,27.520,23.998,0.364
10.181,9.947,27.518,23.987,0.365
10.209,9.971,27.516,23.975,0.366
10.236,9.995,27.514,23.963,0.367
10.264,10.019,27.512,23.952,0.368
10.291,10.043,27.510,23.940,0.369
10.319,10.066,27.508,23.929,0.370
10.346,10.090,27.506,23.917,0.371
10.374,10.114,27.504,23.906,0.372
10.401,10.138,27.502,23.894,0.373
10.429,10.162,27.500,23.883,0.374
10.456,10.186,27.498,23.871,0.375
10.484,10.210,27.496,23.860,0.376
10.511,10.234,27.494,23.848,0.377
10.539,10.258,27.492,23.837,0.378
10.566,10.281,27.490,23.825,0.379
10.594,10.305,27.488,23.814,0.380
10.621,10.329,27.486,23.802,0.381
10.649,10.353,27.484,23.791,0.382
10.676,10.377,27.482,23.779,0.383
10.704,10.400,27.481,23.768,0.384
10.731,10.424,27.479,23.756,0.385
10.759,10.448,27.477,23.745,0.386
10.786,10.472,27.475,23.733,0.387
10.814,10.495,27.473,23.722,0.388
10.841,10.519,27.471,23.710,0.389
10.868,10.543,27.469,23.699,0.390
10.896,10.566,27.467,23.687,0.391
10.923,10.590,27.465,23.676,0.392
10.951,10.614,27.463,23.664,0.393
10.978,10.637,27.461,23.653,0.394
11.006,10.661,27.459,23.641,0.395
11.033,10.685,27.457,23.630,0.396
11.061,10.708,27.455,23.618,0.397
11.088,10.732,27.453,23.607,0.398
11.116,10.756,27.451,23.595,0.399
11.143,10.779,27.449,23.584,0.400
11.171,10.803,27.447,23.572,0.401
11.198,10.826,27.445,23.561,0.402
11.225,10.850,27.443,23.549,0.403
11.253,10.873,27.441,23.538,0.404
11.280,10.897,27.439,23.526,0.405
11.308,10.920,27.437,23.515,0.406
11.335,10.944,27.435,23.503,0.407
11.363,10.967,27.434,23.492,0.408
11.390,10.991,27.432,23.480,0.409
11.417,11.014,27.430,23.469,0.410
11.445,11.038,27.428,23.457,0.411
11.472,11.061,27.426,23.446,0.412
11.500,11.085,27.424,23.435,0.413
11.527,11.108,27.422,23.423,0.414
11.555,11.132,27.420,23.412,0.415
11.582,11.155,27.418,23.400,0.416
11.609,11.178,27.416,23.389,0.417
11.637,11.202,27.414,23.377,0.418
11.664,11.225,27.412,23.366,0.419
11.692,11.249,27.410,23.354,0.420
11.719,11.272,27.408,23.343,0.421
11.746,11.295,27.406,23.331,0.422
11.774,11.319,27.404,23.320,0.423
