x,y,vx,vy,t
0.000,0.413,70.711,70.711,0.000
0.071,0.484,70.697,70.687,0.001
0.141,0.554,70.683,70.663,0.002
0.212,0.625,70.669,70.639,0.003
0.283,0.695,70.655,70.616,0.004
0.353,0.766,70.641,70.592,0.005
0.424,0.837,70.627,70.568,0.006
0.495,0.907,70.613,70.545,0.007
0.565,0.978,70.599,70.521,0.008
0.636,1.048,70.585,70.497,0.009
0.706,1.119,70.572,70.474,0.010
0.777,1.189,70.558,70.450,0.011
0.848,1.260,70.544,70.426,0.012
0.918,1.330,70.530,70.403,0.013
0.989,1.400,70.516,70.379,0.014
1.059,1.471,70.502,70.356,0.015
1.130,1.541,70.489,70.332,0.016
1.200,1.611,70.475,70.308,0.017
1.271,1.682,70.461,70.285,0.018
1.341,1.752,70.447,70.261,0.019
1.411,1.822,70.433,70.238,0.020
1.482,1.893,70.420,70.214,0.021
1.552,1.963,70.406,70.191,0.022
1.623,2.033,70.392,70.167,0.023
1.693,2.103,70.378,70.144,0.024
1.763,2.173,70.365,70.120,0.025
1.834,2.243,70.351,70.097,0.026
1.904,2.313,70.337,70.073,0.027
1.974,2.383,70.323,70.049,0.028
2.045,2.454,70.309,70.026,0.029
2.115,2.524,70.296,70.002,0.030
2.185,2.594,70.282,69.979,0.031
2.256,2.663,70.268,69.956,0.032
2.326,2.733,70.254,69.932,0.033
2.396,2.803,70.241,69.909,0.034
2.466,2.873,70.227,69.885,0.035
2.537,2.943,70.213,69.862,0.036
2.607,3.013,70.200,69.838,0.037
2.677,3.083,70.186,69.815,0.038
2.747,3.153,70.172,69.792,0.039
2.817,3.222,70.159,69.768,0.040
2.888,3.292,70.145,69.745,0.041
2.958,3.362,70.132,69.721,0.042
3.028,3.432,70.118,69.698,0.043
3.098,3.501,70.104,69.675,0.044
3.168,3.571,70.091,69.651,0.045
3.238,3.641,70.077,69.628,0.046
3.308,3.710,70.064,69.605,0.047
3.378,3.780,70.050,69.581,0.048
3.448,3.849,70.036,69.558,0.049
3.518,3.919,70.023,69.535,0.050
3.588,3.988,70.009,69.511,0.051
3.658,4.058,69.995,69.488,0.052
3.728,4.127,69.982,69.465,0.053
3.798,4.197,69.968,69.441,0.054
3.868,4.266,69.955,69.418,0.055
3.938,4.336,69.941,69.395,0.056
4.008,4.405,69.928,69.372,0.057
4.078,4.474,69.914,69.348,0.058
4.148,4.544,69.901,69.325,0.059
4.218,4.613,69.887,69.302,0.060
4.288,4.682,69.873,69.279,0.061
4.358,4.752,69.860,69.255,0.062
4.427,4.821,69.846,69.232,0.063
4.497,4.890,69.833,69.209,0.064
4.567,4.959,69.820,69.186,0.065
4.637,5.028,69.806,69.163,0.066
4.707,5.098,69.793,69.140,0.067
4.776,5.167,69.779,69.116,0.068
4.846,5.236,69.766,69.093,0.069
4.916,5.305,69.752,69.070,0.070
4.986,5.374,69.738,69.047,0.071
5.055,5.443,69.725,69.024,0.072
5.125,5.512,69.711,69.000,0.073
5.195,5.581,69.698,68.977,0.074
5.265,5.650,69.685,68.954,0.075
5.334,5.719,69.671,68.931,0.076
5.404,5.788,69.658,68.908,0.077
5.474,5.857,69.644,68.885,0.078
5.543,5.926,69.631,68.862,0.079
5.613,5.994,69.618,68.839,0.080
5.682,6.063,69.604,68.816,0.081
5.752,6.132,69.591,68.793,0.082
5.822,6.201,69.577,68.770,0.083
5.891,6.270,69.564,68.747,0.084
5.961,6.338,69.551,68.724,0.085
6.030,6.407,69.537,68.701,0.086
6.100,6.476,69.524,68.678,0.087
6.169,6.544,69.510,68.654,0.088
6.239,6.613,69.497,68.631,0.089
6.308,6.682,69.484,68.608,0.090
6.378,6.750,69.470,68.585,0.091
6.447,6.819,69.457,68.562,0.092
6.517,6.887,69.444,68.540,0.093
6.586,6.956,69.430,68.517,0.094
6.656,7.024,69.417,68.494,0.095
6.725,7.093,69.404,68.471,0.096
6.794,7.161,69.391,68.448,0.097
6.864,7.230,69.377,68.425,0.098
6.933,7.298,69.364,68.402,0.099
7.003,7.367,69.351,68.379,0.100
7.072,7.435,69.337,68.356,0.101
7.141,7.503,69.324,68.333,0.102
7.211,7.572,69.311,68.310,0.103
7.280,7.640,69.297,68.287,0.104
7.349,7.708,69.284,68.264,0.105
7.418,7.777,69.271,68.242,0.106
7.488,7.845,69.258,68.219,0.107
7.557,7.913,69.244,68.196,0.108
7.626,7.981,69.231,68.173,0.109
7.695,8.049,69.218,68.150,0.110
7.765,8.117,69.204,68.127,0.111
7.834,8.186,69.191,68.104,0.112
7.903,8.254,69.178,68.082,0.113
7.972,8.322,69.165,68.059,0.114
8.041,8.390,69.152,68.036,0.115
8.110,8.458,69.139,68.013,0.116
8.180,8.526,69.125,67.990,0.117
8.249,8.594,69.112,67.968,0.118
8.318,8.662,69.099,67.945,0.119
8.387,8.730,69.086,67.922,0.120
8.456,8.798,69.073,67.899,0.121
8.525,8.865,69.059,67.877,0.122
8.594,8.933,69.046,67.854,0.123
8.663,9.001,69.033,67.831,0.124
8.732,9.069,69.020,67.808,0.125
8.801,9.137,69.007,67.786,0.126
8.870,9.205,68.993,67.763,0.127
8.939,9.272,68.980,67.740,0.128
9.008,9.340,68.967,67.718,0.129
9.077,9.408,68.954,67.695,0.130
9.146,9.475,68.941,67.672,0.131
9.215,9.543,68.928,67.649,0.132
9.284,9.611,68.915,67.627,0.133
9.353,9.678,68.902,67.604,0.134
9.422,9.746,68.889,67.582,0.135
9.491,9.813,68.876,67.559,0.136
9.559,9.881,68.862,67.536,0.137
9.628,9.949,68.849,67.514,0.138
9.697,10.016,68.836,67.491,0.139
9.766,10.084,68.823,67.468,0.140
9.835,10.151,68.810,67.446,0.141
9.904,10.218,68.797,67.423,0.142
9.972,10.286,68.784,67.401,0.143
10.041,10.353,68.771,67.378,0.144
10.110,10.421,68.758,67.355,0.145
10.179,10.488,68.745,67.333,0.146
10.247,10.555,68.732,67.310,0.147
10.316,10.623,68.719,67.288,0.148
10.385,10.690,68.706,67.265,0.149
10.454,10.757,68.693,67.243,0.150
10.522,10.824,68.680,67.220,0.151
10.591,10.892,68.667,67.198,0.152
10.660,10.959,68.654,67.175,0.153
10.728,11.026,68.641,67.153,0.154
10.797,11.093,68.628,67.130,0.155
10.865,11.160,68.615,67.108,0.156
10.934,11.227,68.602,67.085,0.157
11.003,11.294,68.589,67.063,0.158
11.071,11.361,68.576,67.040,0.159
11.140,11.428,68.563,67.018,0.160
11.208,11.495,68.551,66.995,0.161
11.277,11.562,68.538,66.973,0.162
11.345,11.629,68.525,66.950,0.163
11.414,11.696,68.512,66.928,0.164
11.482,11.763,68.499,66.906,0.165
11.551,11.830,68.486,66.883,0.166
11.619,11.897,68.473,66.861,0.167
11.688,11.964,68.460,66.838,0.168
11.756,12.031,68.447,66.816,0.169
11.825,12.097,68.434,66.794,0.170
11.893,12.164,68.421,66.771,0.171
11.962,12.231,68.409,66.749,0.172
12.030,12.298,68.396,66.726,0.173
12.098,12.364,68.383,66.704,0.174
12.167,12.431,68.370,66.682,0.175
12.235,12.498,68.357,66.659,0.176
12.304,12.564,68.344,66.637,0.177
12.372,12.631,68.331,66.615,0.178
12.440,12.698,68.318,66.592,0.179
12.509,12.764,68.306,66.570,0.180
12.577,12.831,68.293,66.548,0.181
12.645,12.897,68.280,66.526,0.182
12.713,12.964,68.267,66.503,0.183
12.782,13.030,68.254,66.481,0.184
12.850,13.097,68.242,66.459,0.185
12.918,13.163,68.229,66.436,0.186
12.986,13.230,68.216,66.414,0.187
13.055,13.296,68.203,66.392,0.188
13.123,13.363,68.191,66.370,0.189
13.191,13.429,68.178,66.348,0.190
